ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2022,1,"10,411",600,"68,714",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,2,"13,045",600,"86,098",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,3,"22,476",600,"148,339",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,4,"105,126",600,"609,731",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,5,"327,466","7,500","2,324,994","7,500",0,46,"11,425","3,335",83,0,717,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,6,"603,023","7,500","4,551,580","7,500",0,168,"26,065","10,517",304,0,"1,597",Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,7,"791,358","7,500","5,282,410","7,500",0,285,"34,279","12,171",426,0,"2,907",Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,8,"785,236","7,500","5,187,635","7,500",0,493,"33,971","10,550",299,0,"2,322",Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,9,"697,292","7,500","4,379,256","7,500",0,414,"22,110","9,655",261,0,"1,279",Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,10,"521,646","6,000","3,480,420","6,000",0,478,"8,333","3,419",99,0,668,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,11,"70,675",600,"424,050",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2022,12,"22,506",600,"135,036",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100","26,678,263","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,1,"40,621",0,"144,789",0,0,0,430,526,0,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,2,"51,568",0,"168,389",0,0,0,257,302,11,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,3,"141,866",0,"463,840",0,0,0,645,575,36,0,337,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,4,"148,996",0,"616,374",0,0,0,"1,852","3,559",61,0,"1,586",Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,5,"172,114",0,"633,420",0,0,0,"1,355","2,252",92,0,"1,179",Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,6,"171,859",0,"625,563",0,0,0,"1,966","1,844",11,0,762,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,7,"158,925",0,"597,413",0,0,0,"1,906","2,138",21,0,961,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,8,"142,790",0,"539,406",0,0,0,"1,696","2,314",14,0,603,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,9,"158,728",0,"590,489",0,0,0,"1,539","2,379",8,0,837,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,10,"146,986",0,"540,749",0,0,0,"1,332","1,956",11,0,859,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,11,"83,239",0,"349,432",0,0,0,"1,690","1,999",5,0,461,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Arches NP,ARCH,National Park,Intermountain ,UT,2022,12,"42,960",0,"143,730",0,0,0,245,372,2,0,0,Arches NP,ARCH,National Park,Intermountain ,UT,2022,"1,460,652",0,"5,413,594",0,0,0,"14,913","20,216",272,0,"7,585"
Badlands NP,BADL,National Park,Midwest ,SD,2022,1,"12,671","2,066","49,452","2,066",0,1,0,0,2,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2022,"1,006,809","55,984","4,297,631","27,992","10,375","14,929","2,710",590,"2,319",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2022,2,"12,866","1,976","50,299","1,976",0,1,4,4,1,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2022,"1,006,809","55,984","4,297,631","27,992","10,375","14,929","2,710",590,"2,319",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2022,3,"25,276","2,486","100,243","2,486",0,33,47,11,48,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2022,"1,006,809","55,984","4,297,631","27,992","10,375","14,929","2,710",590,"2,319",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2022,4,"34,943","3,070","145,842","3,070",237,436,34,44,46,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2022,"1,006,809","55,984","4,297,631","27,992","10,375","14,929","2,710",590,"2,319",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2022,5,"98,542","6,280","439,333","6,280","1,574","2,237",328,104,342,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2022,"1,006,809","55,984","4,297,631","27,992","10,375","14,929","2,710",590,"2,319",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2022,6,"204,969","7,780","870,887","7,780","1,944","2,817",529,129,540,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2022,"1,006,809","55,984","4,297,631","27,992","10,375","14,929","2,710",590,"2,319",0,0
Badlands NP,BADL,National Park,Midwest ,SD,2022,7,"224,054","8,230","945,931","8,230","2,132","2,705",791,53,329,0,0,Badlands NP,BADL,National Park,Midwest ,SD,2022,"1,006,809","55,984","4,297,631","27,992","10,375","14,929","2,710",590,"2,319",0,0
