ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,acad,National Park,Northeast ,ME,2022,1,10411,600,68714,600,0,0,0,0,0,0,0,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,2,13045,600,86098,600,0,0,0,0,0,0,0,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,3,22476,600,148339,600,0,0,0,0,0,0,0,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,4,105126,600,609731,600,0,0,0,0,0,0,0,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,5,327466,7500,2324994,7500,0,46,11425,3335,83,0,717,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,6,603023,7500,4551580,7500,0,168,26065,10517,304,0,1597,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,7,791358,7500,5282410,7500,0,285,34279,12171,426,0,2907,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,8,785236,7500,5187635,7500,0,493,33971,10550,299,0,2322,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,9,697292,7500,4379256,7500,0,414,22110,9655,261,0,1279,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,10,521646,6000,3480420,6000,0,478,8333,3419,99,0,668,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,11,70675,600,424050,600,0,0,0,0,0,0,0,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Acadia NP,acad,National Park,Northeast ,ME,2022,12,22506,600,135036,600,0,0,0,0,0,0,0,,,,,,2022,3970260,47100,26678263,47100,0,1884,136183,49647,1472,0,9490
Arches NP,arch,National Park,Intermountain ,UT,2022,1,40621,0,144789,0,0,0,430,526,0,0,0,,,,,,2022,1460652,0,5413594,0,0,0,14913,20216,272,0,7585
